Date	Open	High	Low	Close	Volume	Market Cap
7/4/2018	14.23	14.33	13.91	14.01	37,043,700	1,622,370,000
7/3/2018	14.56	14.78	14.08	14.17	60,657,300	1,660,830,000
7/2/2018	14.4	14.82	14.06	14.57	55,614,000	1,641,930,000
7/1/2018	14.68	14.69	14.14	14.4	38,434,400	1,673,690,000
6/30/2018	14.55	15.18	14.29	14.66	59,676,900	1,659,200,000
6/29/2018	14.17	14.65	13.78	14.51	52,784,600	1,616,460,000
6/28/2018	14.03	14.75	13.86	14.12	67,290,500	1,600,100,000
6/27/2018	14.07	14.31	13.89	14.05	44,136,600	1,604,240,000
6/26/2018	14.93	14.99	13.87	14.12	37,503,400	1,702,970,000
6/25/2018	14.46	15.07	13.83	14.92	60,358,000	1,648,700,000
6/24/2018	15.57	15.59	13.54	14.45	96,256,300	1,775,730,000
6/23/2018	15.6	16.06	15.36	15.55	70,431,100	1,779,230,000
6/22/2018	17.07	17.24	15.26	15.59	113,751,000	1,946,850,000
6/21/2018	16.07	17.27	15.92	17.05	122,980,000	1,832,900,000
6/20/2018	16.76	16.86	15.74	16.06	65,190,300	1,911,420,000
6/19/2018	16.78	16.94	16.21	16.7	80,738,100	1,913,630,000
6/18/2018	16.62	17.19	16.22	16.88	106,776,000	1,895,560,000
6/17/2018	15.78	17.23	15.76	16.58	107,346,000	1,799,460,000
6/16/2018	14.94	15.98	14.94	15.81	81,354,700	1,703,350,000
6/15/2018	14.88	15.65	14.69	15.05	79,159,300	1,697,160,000
6/14/2018	14.64	15.03	14.14	14.9	80,329,500	1,669,590,000
6/13/2018	15.3	15.72	14.03	14.59	97,415,900	1,744,480,000
6/12/2018	15.52	16.16	14.99	15.23	116,016,000	1,770,460,000
6/11/2018	14.14	15.38	13.79	15.38	83,039,700	1,612,030,000
6/10/2018	15.93	15.93	13.59	14.18	79,288,200	1,816,510,000
6/9/2018	16.31	16.89	15.96	15.96	85,299,900	1,860,230,000
6/8/2018	16.35	16.63	15.83	16.27	94,394,600	1,864,510,000
6/7/2018	17.27	17.44	16.18	16.26	131,031,000	1,969,090,000
6/6/2018	15.6	17.36	15.35	17.25	157,806,000	1,778,930,000
6/5/2018	14.25	15.67	14.21	15.6	101,474,000	1,625,540,000
6/4/2018	14.68	14.68	13.67	14.26	58,219,100	1,673,630,000
6/3/2018	14.68	14.95	14.33	14.57	82,182,300	1,674,350,000
6/2/2018	14.32	14.85	14.01	14.68	87,983,000	1,632,980,000
6/1/2018	14.25	14.41	13.79	14.24	80,342,200	1,625,290,000
5/31/2018	12.56	14.22	12.41	14.19	93,931,700	1,432,560,000
5/30/2018	12.61	12.8	12.27	12.57	43,146,300	1,437,880,000
5/29/2018	11.96	12.68	11.77	12.57	48,807,700	1,363,420,000
5/28/2018	12.6	12.75	11.7	11.89	33,398,400	1,436,870,000
5/27/2018	12.79	12.79	12.33	12.61	36,691,600	1,458,100,000
5/26/2018	12.96	13.2	12.7	12.76	43,258,400	1,478,320,000
5/25/2018	13.03	13.37	12.64	13.01	49,173,800	1,486,250,000
5/24/2018	12.61	13.19	12.2	13	54,410,900	1,438,060,000
5/23/2018	13.85	13.93	12.33	12.63	68,215,200	1,579,810,000
5/22/2018	14.57	14.84	13.75	13.93	86,545,100	1,661,680,000
5/21/2018	14.13	14.79	13.82	14.72	97,367,300	1,610,880,000
5/20/2018	14.35	14.37	13.69	14.12	95,390,200	1,636,510,000
5/19/2018	15.13	15.62	13.99	14.25	138,321,000	1,725,970,000
5/18/2018	12.36	16.22	12.05	15.14	243,261,000	1,409,710,000
5/17/2018	12.32	12.97	12.27	12.47	54,251,500	1,404,490,000
