Date	Open	High	Low	Close	Volume	Market Cap
7/4/2018	1.67	1.84	1.62	1.75	38,892,900	646,297,000
7/3/2018	1.76	1.82	1.67	1.67	49,457,000	681,561,000
7/2/2018	1.67	1.8	1.59	1.76	48,343,800	645,941,000
7/1/2018	1.56	1.75	1.54	1.66	53,061,500	605,722,000
6/30/2018	1.52	1.63	1.52	1.56	33,535,800	590,581,000
6/29/2018	1.41	1.55	1.38	1.52	33,934,400	548,173,000
6/28/2018	1.52	1.58	1.41	1.42	31,839,700	588,728,000
6/27/2018	1.48	1.54	1.45	1.52	28,190,500	572,806,000
6/26/2018	1.63	1.64	1.48	1.48	23,964,600	633,314,000
6/25/2018	1.58	1.68	1.55	1.63	36,657,000	611,286,000
6/24/2018	1.75	1.75	1.46	1.58	40,809,300	677,080,000
6/23/2018	1.79	1.82	1.71	1.75	30,862,800	692,569,000
6/22/2018	1.99	2	1.71	1.79	43,267,400	772,320,000
6/21/2018	2.08	2.1	1.98	1.99	39,188,300	806,088,000
6/20/2018	2.11	2.12	2.01	2.08	42,506,400	816,728,000
6/19/2018	2.12	2.18	2.06	2.11	40,532,200	822,091,000
6/18/2018	1.99	2.16	1.95	2.12	46,687,300	771,877,000
6/17/2018	2.03	2.09	1.99	2	40,030,100	787,265,000
6/16/2018	2.02	2.05	1.9	2.03	53,683,100	780,396,000
6/15/2018	2.3	2.3	2	2.01	50,939,700	889,305,000
6/14/2018	2	2.35	1.98	2.3	80,089,000	799,330,000
6/13/2018	1.91	2.06	1.85	2	60,707,500	763,178,000
6/12/2018	2.16	2.16	1.86	1.9	23,543,900	865,635,000
6/11/2018	2.13	2.17	2.05	2.17	26,580,000	824,938,000
6/10/2018	2.47	2.47	2.07	2.13	33,532,900	955,972,000
6/9/2018	2.6	2.61	2.47	2.47	28,835,500	1,007,530,000
6/8/2018	2.6	2.64	2.53	2.6	30,972,400	1,008,250,000
6/7/2018	2.67	2.72	2.6	2.6	22,732,300	1,033,600,000
6/6/2018	2.69	2.7	2.6	2.67	22,381,700	1,042,340,000
6/5/2018	2.66	2.73	2.54	2.69	29,884,200	1,028,360,000
6/4/2018	2.83	2.87	2.6	2.65	35,168,300	1,097,190,000
6/3/2018	2.78	2.9	2.77	2.82	32,290,100	1,077,650,000
6/2/2018	2.72	2.84	2.68	2.78	34,864,300	1,053,870,000
6/1/2018	2.78	2.82	2.66	2.72	48,660,500	1,077,760,000
5/31/2018	2.66	2.85	2.61	2.77	51,880,600	1,030,270,000
5/30/2018	2.62	2.82	2.54	2.68	61,928,800	1,014,380,000
5/29/2018	2.21	2.69	2.2	2.62	66,451,400	854,291,000
5/28/2018	2.52	2.54	2.2	2.21	41,994,900	976,057,000
5/27/2018	2.61	2.61	2.47	2.52	31,561,200	1,011,670,000
5/26/2018	2.66	2.77	2.61	2.61	16,186,100	1,029,930,000
5/25/2018	2.83	2.84	2.62	2.67	19,931,000	1,097,690,000
5/24/2018	2.69	2.85	2.56	2.82	32,746,800	1,043,380,000
5/23/2018	3.07	3.11	2.66	2.69	39,825,300	1,189,500,000
5/22/2018	3.48	3.49	3.04	3.07	32,143,500	1,348,050,000
5/21/2018	3.64	3.65	3.43	3.48	24,410,000	1,409,480,000
5/20/2018	3.54	3.71	3.49	3.64	24,386,700	1,369,320,000
5/19/2018	3.63	3.64	3.49	3.53	20,808,400	1,407,340,000
5/18/2018	3.57	3.64	3.42	3.63	32,009,200	1,381,470,000
5/17/2018	3.85	3.94	3.52	3.56	36,797,300	1,489,690,000
5/16/2018	4.01	4.02	3.69	3.84	45,163,000	1,551,010,000
5/15/2018	4.04	4.43	3.99	4.01	108,231,000	1,564,250,000
5/14/2018	4.08	4.11	3.81	4.01	52,261,900	1,578,690,000
5/13/2018	3.94	4.18	3.85	4.08	46,177,800	1,526,040,000
5/12/2018	4.16	4.22	3.65	3.94	96,616,400	1,609,130,000
5/11/2018	3.86	4.42	3.45	4.11	236,937,000	1,496,160,000
5/10/2018	4.21	4.31	3.85	3.87	37,495,800	1,628,840,000
5/9/2018	4.41	4.41	4.1	4.21	40,110,400	1,709,170,000
5/8/2018	4.29	4.49	4.12	4.46	54,016,300	1,662,770,000
5/7/2018	4.26	4.33	3.96	4.28	40,395,400	1,649,860,000
5/6/2018	4.41	4.43	4.09	4.27	35,434,400	1,709,020,000
5/5/2018	4.54	4.54	4.37	4.42	45,955,200	1,759,020,000
5/4/2018	4.41	4.57	4.19	4.56	73,150,400	1,706,440,000
5/3/2018	4.37	4.59	4.34	4.4	85,571,700	1,693,310,000
5/2/2018	4.39	4.41	4.29	4.37	46,918,400	1,698,880,000
5/1/2018	4.34	4.43	4.01	4.41	66,976,200	1,679,080,000
4/30/2018	4.69	4.69	4.26	4.34	94,284,100	1,815,430,000
4/29/2018	4.83	4.87	4.4	4.71	110,776,000	1,870,780,000
