Date	Open	High	Low	Close	Volume	Market Cap
7/4/2018	0.025822	0.031619	0.023225	0.029051	38,866	2,897,140
7/3/2018	0.026662	0.029088	0.025785	0.025831	11,899	2,991,340
7/2/2018	0.026191	0.029986	0.025387	0.026782	14,753	2,938,450
7/1/2018	0.030639	0.031014	0.025997	0.026187	13,773	3,437,490
6/30/2018	0.030021	0.033712	0.02987	0.030631	13,386	3,368,190
6/29/2018	0.03468	0.034859	0.028587	0.029984	11,721	3,890,910
6/28/2018	0.033188	0.035651	0.031773	0.034659	17,061	3,723,560
6/27/2018	0.034591	0.035074	0.031832	0.033172	23,866	3,880,940
6/26/2018	0.036602	0.037447	0.034577	0.034607	13,491	4,106,530
6/25/2018	0.038004	0.039307	0.03644	0.036602	28,430	4,263,850
6/24/2018	0.036555	0.039455	0.03569	0.038069	13,534	4,101,280
6/23/2018	0.037334	0.037802	0.03621	0.036561	7,395	4,188,630
6/22/2018	0.049203	0.050599	0.035974	0.037353	44,599	5,520,300
6/21/2018	0.045387	0.051566	0.041779	0.049244	138,012	5,092,220
6/20/2018	0.033655	0.060481	0.030014	0.045391	148,490	3,775,920
6/19/2018	0.039187	0.039424	0.032435	0.033635	32,892	4,396,600
6/18/2018	0.032132	0.042063	0.030138	0.039207	44,896	3,605,080
6/17/2018	0.033341	0.034755	0.030287	0.032237	19,842	3,740,670
6/16/2018	0.031401	0.043722	0.030642	0.033265	21,051	3,523,030
6/15/2018	0.036818	0.040584	0.030414	0.031512	30,848	4,130,740
6/14/2018	0.036058	0.038228	0.034698	0.036875	25,662	4,045,490
6/13/2018	0.03571	0.03689	0.032049	0.036072	21,584	4,006,520
6/12/2018	0.03069	0.036943	0.029458	0.03562	34,972	3,443,200
6/11/2018	0.021905	0.032635	0.02174	0.029623	57,221	2,457,610
6/10/2018	0.024788	0.024788	0.021492	0.021875	2,597	2,781,020
6/9/2018	0.024311	0.02667	0.024003	0.024763	14,665	2,727,530
6/8/2018	0.024436	0.02546	0.022203	0.024317	5,017	2,741,530
6/7/2018	0.023809	0.026689	0.023178	0.024417	16,338	2,671,270
6/6/2018	0.024349	0.024954	0.022287	0.023788	5,906	2,731,770
6/5/2018	0.024084	0.024951	0.02345	0.02436	7,776	2,702,090
6/4/2018	0.025473	0.025473	0.023255	0.024074	26,110	2,857,890
6/3/2018	0.020444	0.025261	0.020444	0.025261	26,040	2,293,680
6/2/2018	0.017052	0.02057	0.01677	0.020146	14,333	1,913,120
6/1/2018	0.019528	0.019614	0.01678	0.017058	4,310	2,190,890
5/31/2018	0.020353	0.02329	0.019493	0.019522	5,064	2,283,540
5/30/2018	0.015545	0.024533	0.01527	0.019894	50,544	1,744,030
5/29/2018	0.01331	0.01556	0.012853	0.015534	22,334	1,493,350
5/28/2018	0.012251	0.013586	0.012234	0.013315	10,102	1,374,530
5/27/2018	0.012407	0.012762	0.012132	0.012249	4,320	1,391,950
5/26/2018	0.012826	0.013244	0.012358	0.012413	978	1,438,960
5/25/2018	0.012906	0.013133	0.012539	0.012847	4,014	1,448,030
5/24/2018	0.013366	0.014178	0.012724	0.012885	3,997	1,499,610
5/23/2018	0.014572	0.014609	0.01329	0.013399	2,689	1,634,850
5/22/2018	0.015117	0.015128	0.014516	0.014585	3,889	1,696,000
5/21/2018	0.015324	0.015702	0.014951	0.01512	5,129	1,719,270
5/20/2018	0.014808	0.015632	0.014715	0.015305	2,665	1,661,420
5/19/2018	0.015085	0.015294	0.014353	0.014798	2,975	1,692,500
5/18/2018	0.015151	0.015386	0.014752	0.015087	2,793	1,699,830
5/17/2018	0.015351	0.01591	0.015049	0.015139	3,526	1,722,280
5/16/2018	0.015736	0.016256	0.014776	0.015342	14,890	1,765,470
5/15/2018	0.016032	0.017601	0.015657	0.015745	26,544	1,798,680
5/14/2018	0.016164	0.016393	0.015101	0.016058	6,663	1,813,460
5/13/2018	0.015785	0.016718	0.01479	0.016166	8,214	1,770,990
5/12/2018	0.014694	0.015892	0.01358	0.015789	9,770	1,648,580
5/11/2018	0.016677	0.016677	0.014598	0.014734	4,925	1,871,040
5/10/2018	0.016832	0.017865	0.01577	0.016661	34,295	1,888,460
5/9/2018	0.016303	0.016859	0.015511	0.016836	5,346	1,829,120
5/8/2018	0.016332	0.018211	0.016015	0.016326	19,620	1,832,340
5/7/2018	0.018199	0.018306	0.016089	0.016301	3,769	2,041,880
5/6/2018	0.019563	0.019978	0.017815	0.018188	6,125	2,194,840
5/5/2018	0.019411	0.02027	0.018971	0.019552	3,799	2,177,830
5/4/2018	0.018406	0.020453	0.017908	0.01942	19,090	2,065,090
5/3/2018	0.019128	0.019743	0.018095	0.018413	9,034	2,146,070
5/2/2018	0.018294	0.020189	0.01817	0.019128	12,940	2,052,460
5/1/2018	0.018618	0.019767	0.017472	0.018319	11,772	2,088,870
4/30/2018	0.016991	0.019309	0.016465	0.018603	14,706	1,906,310
4/29/2018	0.01735	0.017694	0.016841	0.016996	3,254	1,946,570
4/28/2018	0.016783	0.01762	0.016236	0.017356	10,370	1,882,950
4/27/2018	0.017922	0.018353	0.016378	0.016839	17,104	2,010,710
4/26/2018	0.016429	0.018196	0.01536	0.0179	8,054	1,843,250
4/25/2018	0.020602	0.020602	0.01631	0.016338	5,997	2,311,400
4/24/2018	0.018046	0.021706	0.017627	0.020722	18,438	2,024,610
4/23/2018	0.01842	0.021749	0.017921	0.018032	8,790	2,066,640
4/22/2018	0.016234	0.018614	0.015829	0.018455	6,171	1,821,390
4/21/2018	0.018575	0.019304	0.015638	0.016234	15,151	2,083,980
4/20/2018	0.017907	0.023299	0.015815	0.018518	29,295	2,009,100
4/19/2018	0.019462	0.019462	0.017383	0.017885	8,009	2,183,570
4/18/2018	0.017656	0.019484	0.016572	0.01945	5,219	1,980,860
4/17/2018	0.020425	0.021194	0.017635	0.01764	12,862	2,291,610
4/16/2018	0.021471	0.022215	0.019783	0.020416	5,546	2,408,930
4/15/2018	0.020977	0.02219	0.020977	0.021479	4,362	2,353,450
4/14/2018	0.021509	0.021972	0.020425	0.020956	6,542	2,413,220
4/13/2018	0.019547	0.022279	0.019104	0.021509	11,700	2,193,010
4/12/2018	0.018732	0.021819	0.018556	0.019524	12,159	2,101,650
4/11/2018	0.018668	0.020606	0.017486	0.018798	7,936	2,094,400
4/10/2018	0.018683	0.019238	0.017909	0.018654	9,013	2,096,130
4/9/2018	0.019611	0.019797	0.017761	0.018642	7,554	2,200,230
4/8/2018	0.019569	0.020342	0.019162	0.019593	3,991	2,195,590
4/7/2018	0.025397	0.030002	0.019059	0.019523	13,250	2,849,410
4/6/2018	0.02503	0.02604	0.018675	0.025418	19,572	2,808,210
4/5/2018	0.02531	0.027297	0.0184	0.025097	31,590	2,839,640
4/4/2018	0.029213	0.029226	0.018587	0.02533	14,300	3,277,480
